,i..X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW,Presence,lat_lon_index
1,-98.400339,29.304177,55,57197,Blue Wing Solar Energy Generation,TX Solar I LLC,56565,IPP Non-CHP,San Antonio,Bexar,Texas,78223,10810 S Blue Wind Rd.,solar,13.9,13.5,0,0,0,0,0,0,13.5,0,Solar = 13.5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,29.304177,-98.400339,0,0,0,0,6,117
2,-97.508812,30.238492,221,57699,Webberville Solar Project,FRV AE Solar LLC,57021,IPP Non-CHP,Manor,Travis,Texas,78653,18580 FM 969,solar,30,30,0,0,0,0,0,0,30,0,Solar = 30 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,30.238492,-97.508812,0,0,0,0,6,150
3,-98.669167,29.221944,323,58009,SunE CPS3 LLC,SunE CPS3 LLC,57386,IPP Non-CHP,Somerset,Bexar,Texas,78069,8719 S FM 2790,solar,10.6,10.6,0,0,0,0,0,0,10.6,0,Solar = 10.6 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,29.221944,-98.669167,0,0,0,0,6,116
4,-97.690286,30.557044,327,58013,IKEA Round Rock 027,IKEA Property Inc,57389,Commercial Non-CHP,Round Rock,Williamson,Texas,78664,1 IKEA Way,solar,1.4,1.3,0,0,0,0,0,0,1.3,0,Solar = 1.3 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,30.557044,-97.690286,0,0,0,0,6,151
5,-98.418333,29.245,332,58027,SunE CPS2 LLC,SunE CPS2 LLC,57403,IPP Non-CHP,San Antonio,Bexar,Texas,78221,3580 Valley Rd,solar,10,9.9,0,0,0,0,0,0,9.9,0,Solar = 9.9 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,29.245,-98.418333,0,0,0,0,6,116
6,-98.418333,29.245,346,58068,SunE CPS1 LLC,SunE CPS1 LLC,57419,IPP Non-CHP,San Antonio,Bexar,Texas,78221,4000 Rabel Road,solar,10,9.9,0,0,0,0,0,0,9.9,0,Solar = 9.9 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,29.245,-98.418333,0,0,0,0,6,116
7,-104.3,29.6,516,58488,"Bryan Solar, LLC","NVT LICENSES, LLC",58473,IPP Non-CHP,Presidio,Presidio,Texas,79845,3400 Rancho Rd,solar,10,10,0,0,0,0,0,0,10,0,Solar = 10 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,29.6,-104.3,0,0,0,0,6,6
8,-98.444722,29.271667,554,58537,OCI Alamo Solar I Hybrid,OCI Solar Power,58489,IPP Non-CHP,San Antonio,Bexar,Texas,78204,14984 South Blue Wing Road,solar,41.7,41.7,0,0,0,0,0,0,40.7,0,"Battery = 1 MW, Solar = 40.7 MW",Batteries; Solar Photovoltaic;,"EIA-860, EIA-860M and EIA-923",202001,29.271667,-98.444722,0,1,0,0,6,117
9,-103.35,30.96,647,58710,Barilla Solar,First Solar Asset Management,59745,IPP Non-CHP,Fort Stockton,Pecos,Texas,79735,Hovey Road,solar,30.2,30.2,0,0,0,0,0,0,30.2,0,Solar = 30.2 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,30.96,-103.35,0,0,0,0,6,15
10,-98.331944,29.469444,650,58716,"OCI Alamo 2, LLC",OCI Solar Power,58489,IPP Non-CHP,Converse,Bexar,Texas,78109,8203 Binz Engelman Road,solar,4.4,4.4,0,0,0,0,0,0,4.4,0,Solar = 4.4 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,29.469444,-98.331944,0,0,0,0,6,117
11,-100.383889,29.328889,651,58717,"OCI Alamo 4, LLC",Consolidated Edison Development Inc.,56769,IPP Non-CHP,Brackettville,Kinney,Texas,78837,Ranch to Market Road 334,solar,39.6,39.6,0,0,0,0,0,0,39.6,0,Solar = 39.6 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,29.328889,-100.383889,0,0,0,0,6,56
12,-98.297222,29.479167,918,59204,OCI Alamo 3 LLC,Consolidated Edison Development Inc.,56769,IPP Non-CHP,San Antonio,Bexar,Texas,78109,12065 E Loop 1604,solar,5.5,5.5,0,0,0,0,0,0,5.5,0,Solar = 5.5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,29.479167,-98.297222,0,0,0,0,6,117
13,-99.716111,29.216667,919,59205,OCI Alamo 5 LLC,Consolidated Edison Development Inc.,56769,IPP Non-CHP,Uvalde,Uvalde,Texas,78801,5061 Farm to Market 1023,solar,100,100,0,0,0,0,0,0,100,0,Solar = 100 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,29.216667,-99.716111,0,0,0,0,6,84
14,-102.270833,30.993056,920,59206,Alamo 6,"BHE Renewables, LLC",59359,IPP Non-CHP,Fort Stockton,Pecos,Texas,79735,1401 Nevill Cutoff Road,solar,105,116,0,0,0,0,0,0,116,0,Solar = 116 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,30.993056,-102.270833,0,0,0,0,6,27
15,-99.5525,33.04,921,59207,OCI Alamo 7 LLC,Consolidated Edison Development Inc.,56769,IPP Non-CHP,Haskell,Haskell,Texas,79521,11180 Loop Rd,solar,100,100,0,0,0,0,0,0,100,0,Solar = 100 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,33.04,-99.5525,0,0,0,0,6,92
17,-103.306662,30.960209,1375,59994,RE Roserock,Southern Power Co,17650,IPP Non-CHP,Fort Stockton,Pecos,Texas,79735,293 Mendal Road,solar,160,157.5,0,0,0,0,0,0,157.5,0,Solar = 157.5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,30.960209,-103.306662,0,0,0,0,6,15
18,-102.551292,30.57552,1407,60044,Buckthorn Westex,"Buckthorn Westex, LLC",59777,IPP Non-CHP,Ft. Stockton,Pecos,Texas,79735,Texas rt. 18,solar,202,202,0,0,0,0,0,0,202,0,Solar = 202 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,30.57552,-102.551292,0,0,0,0,6,26
19,-102.272,31.255,1466,60123,Castle Gap Solar Hybrid,Upton County Solar 2 LLC,61123,IPP Non-CHP,McCarney,Upton,Texas,79752,5291 US HWY 385 South,solar,189.9,189.9,0,0,0,0,0,0,180,0,"Battery = 9.9 MW, Solar = 180 MW",Batteries; Solar Photovoltaic;,"EIA-860, EIA-860M and EIA-923",202001,31.255,-102.272,0,9.9,0,0,6,28
21,-101.926522,32.715611,1594,60372,Lamesa Solar,Southern Power Co,17650,IPP Non-CHP,Lamesa,Dawson,Texas,79331,1236 County Rd 20,solar,100,100,0,0,0,0,0,0,100,0,Solar = 100 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,32.715611,-101.926522,0,0,0,0,6,36
22,-96.979168,33.2706,1630,60427,CoServ Community Solar Station,CoServ Electric,60228,IPP Non-CHP,Aubrey,Denton,Texas,76227,15554 Ike Byrom Rd,solar,2,2,0,0,0,0,0,0,2,0,Solar = 2 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,33.2706,-96.979168,0,0,0,0,6,168
23,-102.281744,31.000883,1636,60436,East Pecos Solar,Southern Power Co,17650,IPP Non-CHP,McCamey,Pecos,Texas,75792,7220 Nevill Road,solar,118.5,118.5,0,0,0,0,0,0,118.5,0,Solar = 118.5 MW,Solar Photovoltaic,"EIA-860, EIA-860M and EIA-923",202001,31.000883,-102.281744,0,0,0,0,6,27
